
utilities                               tiện ích 
mergeResolutionProgram                  chương trình phân giải hợp nhát 
invocation                              lời kêu gọi 
preparation                             sự chuẩn bị 
he                                      add ddãi 
he                                      add ddãi 
he                                      a dd ddãi 
he                                      a dd ddãi ô 
he                                      a dd ddãi ôn 
he                                      a dd ddãi ôn 
he                                      a dd ddãi ôn 
he                                      a dd ddãi ôn 
he                                      a dd ddãi ôn 
he                                      a dd ddãi ôn 
he                                      a đ đãi ôn 
